epoch,Data_NaN_out_loss,Data_out_loss,de_natureza_juridica_out_loss,de_ramo_out_loss,de_saude_rescencia_out_loss,de_saude_tributaria_out_loss,fl_antt_out_loss,fl_optante_simei_out_loss,fl_optante_simples_out_loss,fl_passivel_iss_out_loss,fl_rm_out_loss,fl_simples_irregular_out_loss,fl_spa_out_loss,fl_veiculo_out_loss,loss,natureza_juridica_macro_out_loss,nm_divisao_out_loss,nm_meso_regiao_out_loss,nm_micro_regiao_out_loss,nm_segmento_out_loss,setor_out_loss,sg_uf_matriz_out_loss,sg_uf_out_loss,val_Data_NaN_out_loss,val_Data_out_loss,val_de_natureza_juridica_out_loss,val_de_ramo_out_loss,val_de_saude_rescencia_out_loss,val_de_saude_tributaria_out_loss,val_fl_antt_out_loss,val_fl_optante_simei_out_loss,val_fl_optante_simples_out_loss,val_fl_passivel_iss_out_loss,val_fl_rm_out_loss,val_fl_simples_irregular_out_loss,val_fl_spa_out_loss,val_fl_veiculo_out_loss,val_loss,val_natureza_juridica_macro_out_loss,val_nm_divisao_out_loss,val_nm_meso_regiao_out_loss,val_nm_micro_regiao_out_loss,val_nm_segmento_out_loss,val_setor_out_loss,val_sg_uf_matriz_out_loss,val_sg_uf_out_loss
0,1.1636369,0.57980573,3.4884057,3.488442,0.57984626,1.7771032,0.57226837,0.6756691,0.7135216,0.7073339,0.7067398,0.5676614,0.4701429,0.58167017,39.262229919433594,1.7947359,4.4865017,2.9485862,4.33097,2.9893584,1.6436907,3.1913786,1.8047628,1.1876731,0.57735133,3.293372,3.3962479,0.35870728,1.7162007,0.38044098,0.6291656,0.6719917,0.6723166,0.6918569,0.43157908,0.23237191,0.4570287,36.986385345458984,1.5879358,4.4393644,2.8929088,4.297209,2.8140826,1.549367,2.978079,1.7311372
1,1.1649709,0.5649716,3.1839447,3.3525653,0.30501395,1.6903987,0.3312025,0.6236447,0.66827404,0.6647023,0.6877692,0.37576103,0.18890792,0.42308676,36.18577194213867,1.533849,4.4039903,2.876381,4.2734613,2.7508483,1.5125453,2.9045548,1.7049278,1.1906497,0.55682117,2.8111155,3.2154722,0.17156622,1.5998889,0.2114544,0.6122966,0.66793144,0.6450138,0.68826485,0.22515558,0.08895809,0.34155735,33.97599411010742,1.3895334,4.2759237,2.8032985,4.1872544,2.5646732,1.4042479,2.6879632,1.6369565
2,1.1699477,0.5459382,2.6694746,3.1600533,0.14444901,1.5688388,0.186394,0.6086692,0.6672939,0.6398636,0.68928564,0.1928119,0.07424429,0.3234266,33.2376766204834,1.3486619,4.216924,2.7853174,4.1522665,2.5003154,1.365566,2.6121707,1.6157607,1.201605,0.53321266,2.2502072,3.0040886,0.08208525,1.4749876,0.1305632,0.593919,0.66549855,0.62206304,0.6975605,0.114861906,0.04061392,0.29078662,31.305248260498047,1.2346132,4.031353,2.7122831,4.044114,2.3386102,1.2676075,2.4017746,1.5728426
3,1.1804006,0.51723635,2.1155076,2.946087,0.07086188,1.4502915,0.11957488,0.5907661,0.66062945,0.61860335,0.6971633,0.1005231,0.035874225,0.28274453,30.663268089294434,1.1989207,3.9561062,2.699081,4.0097523,2.2863216,1.2366596,2.3331592,1.5570018,1.2100855,0.49003085,1.7722023,2.7927563,0.04444898,1.3833483,0.093006,0.5719858,0.6378806,0.5957759,0.6947264,0.064914234,0.023104763,0.2805693,29.04644775390625,1.0989587,3.7394114,2.6366043,3.8969295,2.1781998,1.1651157,2.1454437,1.5309515
4,1.1865346,0.47364584,1.6761932,2.7386465,0.03932137,1.372071,0.086887375,0.56842625,0.62828743,0.5911843,0.6959641,0.05822538,0.021706633,0.2762576,28.509068489074707,1.063398,3.66054,2.6250815,3.8647451,2.139201,1.1415184,2.0849104,1.5163212,1.2127059,0.45649153,1.4608585,2.6030376,0.02747218,1.3442563,0.073227085,0.548113,0.6045472,0.56316376,0.69247615,0.04029653,0.015616191,0.282323,27.270761489868164,0.9566507,3.4392788,2.582747,3.7573218,2.0825498,1.0933253,1.9393609,1.494941
5,1.1903341,0.44927037,1.4012871,2.5582032,0.024973284,1.339957,0.06892294,0.539347,0.5961207,0.55180776,0.69131804,0.037325505,0.015767934,0.2798447,26.834095001220703,0.9225889,3.360888,2.5796776,3.7251277,2.0493317,1.0743182,1.8905323,1.487152,1.2178869,0.46018976,1.2711678,2.4474556,0.019777797,1.3250976,0.060438197,0.50765467,0.5741364,0.5152813,0.69336516,0.027752617,0.012338395,0.28848094,25.890384674072266,0.8208583,3.1599662,2.5528576,3.6333795,2.0014822,1.0410843,1.7929158,1.4668169
6,1.1943945,0.45877463,1.2234733,2.414033,0.018502623,1.3199406,0.058035687,0.49331406,0.5643431,0.50251126,0.6903856,0.02674826,0.0129966615,0.28253165,25.516512870788574,0.7917354,3.0928235,2.5575411,3.6090128,1.9639883,1.0195978,1.7632151,1.4586141,1.2188412,0.475901,1.1242185,2.3294635,0.016450692,1.2946585,0.053896867,0.45390567,0.5273426,0.46036077,0.686283,0.022153858,0.0110928025,0.28609562,24.702709197998047,0.70912194,2.932134,2.531427,3.5458906,1.9021261,0.9768382,1.7044256,1.4400779
7,1.1957524,0.4721102,1.0811431,2.2982337,0.016033508,1.2890271,0.052316424,0.44002694,0.51126105,0.4460067,0.6837336,0.022329466,0.011992149,0.27864355,24.35586452484131,0.6855448,2.8779595,2.5300267,3.5306997,1.8672066,0.95420086,1.682013,1.4296029,1.2179029,0.47967967,1.0088047,2.2246413,0.015915705,1.2647605,0.05087677,0.40301448,0.4778822,0.4027313,0.6764056,0.020943033,0.011193772,0.2795311,23.666040420532227,0.6194773,2.7635164,2.493134,3.4875906,1.8112912,0.900449,1.6473767,1.4089206
8,1.1953788,0.47306174,0.9783762,2.195839,0.016104318,1.2631402,0.04978905,0.39257905,0.46896625,0.3892443,0.6729318,0.02183175,0.01237683,0.27363008,23.37145709991455,0.60034883,2.7252493,2.4872758,3.478316,1.7776206,0.87075746,1.6281097,1.4005293,1.216209,0.47000742,0.93062323,2.125447,0.017178664,1.2537833,0.04971008,0.3676201,0.45518288,0.35374767,0.6599076,0.02220866,0.012223508,0.27487543,22.81804847717285,0.5434096,2.646417,2.446539,3.4460778,1.729561,0.8073724,1.6087811,1.3811637
9,1.192868,0.4611839,0.90709853,2.098559,0.017410856,1.2536511,0.048900574,0.36098993,0.45239717,0.34365827,0.656051,0.022927165,0.013594607,0.2716055,22.565631866455078,0.5261113,2.6123307,2.4422655,3.4410233,1.6995173,0.780236,1.5965371,1.366716,1.2116784,0.457242,0.87798196,2.027504,0.01884897,1.2483163,0.04954354,0.34395793,0.45609936,0.3161825,0.63823503,0.02301242,0.013309262,0.27653167,22.074636459350586,0.47968954,2.5482936,2.4025202,3.407302,1.6541141,0.72075367,1.5729443,1.3305763
